Time (s),Northing (m),Easting (m),Yaw (rad),Speed (m/s)
1728212583.4871368,4477201.342674591,589721.2811518576,-1.5707963267948966,0.001989430282264948
1728212583.529544,4477201.342348694,589721.281749524,-1.5707963267948966,0.000331700750393793
1728212583.6106672,4477201.341489125,589721.2841348645,-1.5707963267948966,-0.0006587326060980558
1728212583.7349353,4477201.344908846,589721.282312616,-1.5707963267948966,0.000164845580002293
1728212583.8142838,4477201.343483093,589721.2837716886,-1.5707963267948966,0.0011595651740208268
1728212583.9263256,4477201.3424739195,589721.2829355451,-1.5707963267948966,0.00082972930977121
1728212584.0226493,4477201.342309073,589721.2784419002,-1.5707963267948966,0.0004976755008101463
1728212584.1165164,4477201.344448585,589721.2809609635,-1.5707963267948966,0.0013248692266643047
1728212584.2283266,4477201.340684686,589721.2818542784,-1.5707963267948966,0.0010018552420660853
1728212584.3254542,4477201.34214193,589721.2830243462,-1.5707963267948966,0.001833596732467413
1728212584.4217093,4477201.343001498,589721.2806390036,-1.5707963267948966,0.003168958006426692
1728212584.533524,4477201.3425778095,589721.282340538,-1.5707963267948966,0.0003354569780640304
1728212584.6297817,4477201.344379234,589721.2844395372,-1.5707963267948966,-0.0011697394074872136
1728212584.725173,4477201.3429280855,589721.2837783367,-1.5707963267948966,-0.0013418474700301886
1728212584.8371794,4477201.345145072,589721.2834973119,-1.5707963267948966,-0.0016688323812559247
1728212584.9325476,4477201.344824259,589721.2845190311,-1.5707963267948966,-0.0011771011631935835
1728212585.0287488,4477201.342468839,589721.2825114921,-1.5707963267948966,0.0013371930690482259
1728212585.141565,4477201.341586921,589721.2830309942,-1.5707963267948966,0.0026756657753139734
1728212585.2385006,4477201.340589937,589721.2832125811,-1.5707963267948966,0.0008371778531000018
1728212585.3488805,4477201.343041118,589721.2839466274,-1.5707963267948966,-0.0
1728212585.4514322,4477201.343368028,589721.2834337733,-1.5707963267948966,-0.0016562932869419456
1728212585.5577564,4477201.344932212,589721.2842632688,-1.5707963267948966,-0.004153173416852951
1728212585.660679,4477201.345695001,589721.2830666087,-1.5707963267948966,-0.0053105163387954235
1728212585.7400155,4477201.346160343,589721.2848423163,-1.5707963267948966,-0.006800484843552113
1728212585.8498204,4477201.344852703,589721.2868937324,-1.5707963267948966,-0.007606767117977142
1728212585.9463599,4477201.347942464,589721.2853299098,-1.5707963267948966,-0.00714707188308239
1728212586.0436099,4477201.347125833,589721.2820315955,-1.5707963267948966,-0.003013975452631712
1728212586.1545308,4477201.345689921,589721.2826425537,-1.5707963267948966,0.002177803311496973
1728212586.2509642,4477201.345463854,589721.282305968,-1.5707963267948966,0.005198079161345959
1728212586.3471615,4477201.3458997365,589721.281622164,-1.5707963267948966,0.006830140948295593
1728212586.4583244,4477201.344808005,589721.2831620558,-1.5707963267948966,0.0075061991810798645
1728212586.556687,4477201.348469028,589721.2829485582,-1.5707963267948966,0.0069935740903019905
1728212586.756166,4477201.349020991,589721.2826874775,-1.5707963267948966,0.0014945990405976772
1728212586.9673476,4477201.349014895,589721.2821786101,-1.5707963267948966,-0.0011503094574436545
1728212587.0702732,4477201.346143073,589721.283400533,-1.5707963267948966,-0.0029776340816169977
1728212587.1754835,4477201.347470013,589721.2829605247,-1.5707963267948966,-0.0036400631070137024
1728212587.2566204,4477201.34890694,589721.2824343746,-1.5707963267948966,-0.004296908155083656
1728212587.3799107,4477201.34980816,589721.2835262781,-1.5707963267948966,-0.00380445527844131
1728212587.4618971,4477201.34890694,589721.2824343746,-1.5707963267948966,-0.0023294715210795403
1728212587.5567703,4477201.34979089,589721.2820844927,-1.5707963267948966,-0.001996431266888976
1728212587.6683543,4477201.350470107,589721.2831790578,-1.5707963267948966,-0.003817178774625063
1728212587.7637134,4477201.349816287,589721.2842047658,-1.5707963267948966,-0.00532033946365118
1728212587.8621085,4477201.34990697,589721.2825072182,-1.5707963267948966,-0.004511973354965448
1728212587.9716434,4477201.3511625305,589721.2853761611,-1.5707963267948966,-0.0025033738929778337
1728212588.0680163,4477201.348027054,589721.2831234969,-1.5707963267948966,-0.0013370489468798041
1728212588.1642272,4477201.348127897,589721.2822740572,-1.5707963267948966,-0.0008361252839677036
1728212588.2758315,4477201.349242995,589721.2826848183,-1.5707963267948966,-0.000835023820400238
1728212588.3811693,4477201.348584094,589721.2832864713,-1.5707963267948966,-0.0008309058612212539
1728212588.4903874,4477201.348129929,589721.2824436818,-1.5707963267948966,-0.0008287053206004202
1728212588.589258,4477201.349902909,589721.2821679732,-1.5707963267948966,-0.0009939261944964528
1728212588.6702414,4477201.349466012,589721.2827669692,-1.5707963267948966,-0.0010000156471505761
1728212588.794428,4477201.349695127,589721.2833579853,-1.5707963267948966,-0.001331430277787149
1728212588.8749063,4477201.350443695,589721.2809739766,-1.5707963267948966,-0.002156598959118128
1728212588.9697337,4477201.350368248,589721.2839436829,-1.5707963267948966,-0.002497834851965308
1728212589.0813828,4477201.345045244,589721.2844315595,-1.5707963267948966,-0.0025041475892066956
1728212589.178652,4477201.3465850465,589721.2832255942,-1.5707963267948966,-0.0026499133091419935
1728212589.2734084,4477201.345387393,589721.2851908685,-1.5707963267948966,-0.0028376460541039705
1728212589.3866208,4477201.344393457,589721.2856268879,-1.5707963267948966,-0.0033348994329571724
1728212589.48272,4477201.346625682,589721.286618026,-1.5707963267948966,-0.004150427412241697
1728212589.5933967,4477201.3460341,589721.2835714851,-1.5707963267948966,-0.004652316682040691
1728212589.690754,4477201.347406759,589721.2869479636,-1.5707963267948966,-0.004314250312745571
1728212589.785589,4477201.347386438,589721.2852517477,-1.5707963267948966,-0.003498112317174673
1728212589.9987853,4477201.3439524975,589721.285886639,-1.5707963267948966,-0.003837358905002475
1728212590.1051102,4477201.345818195,589721.2840830095,-1.5707963267948966,-0.005022626835852861
1728212590.1848228,4477201.344615459,589721.2856242287,-1.5707963267948966,-0.004693828523159027
1728212590.3091066,4477201.344516648,589721.2866432887,-1.5707963267948966,-0.003019864670932293
1728212590.3878162,4477201.343939291,589721.2847840963,-1.5707963267948966,-0.0
1728212590.5146155,4477201.342942308,589721.2849656874,-1.5707963267948966,0.0016734078526496887
1728212590.5950341,4477201.342047182,589721.284382649,-1.5707963267948966,0.0010005519725382328
1728212590.691751,4477201.343829306,589721.2848702382,-1.5707963267948966,-0.00016802162281237543
1728212590.803616,4477201.342051245,589721.2847218917,-1.5707963267948966,-0.0
1728212590.8985503,4477201.343369044,589721.2835185856,-1.5707963267948966,0.002166070742532611
1728212590.995315,4477201.343456681,589721.2815666053,-1.5707963267948966,0.002665340667590499
1728212591.108038,4477201.3439169405,589721.2829182601,-1.5707963267948966,0.0016607263823971152
1728212591.2033427,4477201.342894561,589721.2809795782,-1.5707963267948966,-0.0006668478017672896
1728212591.2989335,4477201.343479029,589721.2834324437,-1.5707963267948966,-0.002156264614313841
1728212591.5052774,4477201.34291691,589721.2828454165,-1.5707963267948966,-0.000995828420855105
1728212591.7167366,4477201.341593016,589721.2835398595,-1.5707963267948966,-0.0004970471491105855
1728212591.8196557,4477201.342133802,589721.2823458564,-1.5707963267948966,-0.0006584576913155615
1728212591.915443,4477201.340714146,589721.2843137942,-1.5707963267948966,-0.0
1728212592.0133083,4477201.343149072,589721.2836908652,-1.5707963267948966,0.000827361480332911
1728212592.108409,4477201.342034992,589721.2833649185,-1.5707963267948966,0.001153989345766604
1728212592.2063763,4477201.34248611,589721.2839532754,-1.5707963267948966,0.0009861474391072989
1728212592.3163218,4477201.342585938,589721.2830190277,-1.5707963267948966,0.001148515846580267
1728212592.4120264,4477201.342164279,589721.2848901824,-1.5707963267948966,0.0011475285282358527
1728212592.50853,4477201.3419118,589721.2823485156,-1.5707963267948966,0.0006599149783141911
1728212592.6198363,4477201.342058358,589721.2853155693,-1.5707963267948966,-0.00032954910420812666
1728212592.716079,4477201.342143961,589721.2831939665,-1.5707963267948966,-0.0011518688406795263
1728212592.8117402,4477201.343383267,589721.2847059363,-1.5707963267948966,-0.0018139276653528214
1728212592.9236693,4477201.34215412,589721.2840420745,-1.5707963267948966,-0.0019885494839400053
1728212593.020622,4477201.343947419,589721.2854625861,-1.5707963267948966,-0.0018268520943820477
1728212593.2248127,4477201.342494236,589721.2846317609,-1.5707963267948966,-0.0021576853469014168
1728212593.4345253,4477201.344951514,589721.2858746725,-1.5707963267948966,-0.0011610565707087517
1728212593.5437267,4477201.34639149,589721.2856029548,-1.5707963267948966,-0.00033355318009853363
1728212593.6406176,4477201.344938306,589721.2847721297,-1.5707963267948966,-0.00016640691319480538
1728212593.7463005,4477201.346174563,589721.2860296713,-1.5707963267948966,-0.00016555622278247029
1728212593.825803,4477201.346169486,589721.2856056141,-1.5707963267948966,-0.0004961807862855494
1728212593.9522796,4477201.347393552,589721.2858454209,-1.5707963267948966,-0.0004972088499926031
1728212594.0304675,4477201.345504492,589721.2856984041,-1.5707963267948966,-0.0
1728212594.1267092,4477201.344608349,589721.2850305554,-1.5707963267948966,-0.0
1728212594.2395904,4477201.346848702,589721.2867001791,-1.5707963267948966,0.0001663409493630752
1728212594.3351061,4477201.347172564,589721.2859328925,-1.5707963267948966,-0.00016602389223407954
1728212594.4305265,4477201.348374283,589721.284306861,-1.5707963267948966,-0.0006616869359277189
1728212594.5426934,4477201.348392568,589721.2858334543,-1.5707963267948966,-0.0008286585798487067
1728212594.6385956,4477201.348943512,589721.2854875614,-1.5707963267948966,-0.00016540945216547698
1728212594.735324,4477201.350826479,589721.2851257174,-1.5707963267948966,0.0004985579289495945
1728212594.8469553,4477201.349039276,589721.2842140731,-1.5707963267948966,0.0008306870586238801
1728212594.9433687,4477201.3484954415,589721.2851536393,-1.5707963267948966,0.0004974374896846712
1728212595.0523894,4477201.348739794,589721.2870168205,-1.5707963267948966,-0.0
1728212595.1593204,4477201.35125728,589721.2840178583,-1.5707963267948966,-0.00033126180642284453
1728212595.2397287,4477201.349272454,589721.285144332,-1.5707963267948966,0.0003326410078443587
1728212595.366329,4477201.350719539,589721.2854662875,-1.5707963267948966,0.0009945012861862779
1728212595.4465115,4477201.3506034585,589721.2850435643,-1.5707963267948966,0.0008262898772954941
1728212595.5409875,4477201.350286706,589721.2864045263,-1.5707963267948966,-0.00016411933756899089
1728212595.6543133,4477201.35172973,589721.2863872413,-1.5707963267948966,-0.0009856466203927994
1728212595.7509816,4477201.350856956,589721.2876700433,-1.5707963267948966,-0.0014841498341411352
1728212595.845457,4477201.351393678,589721.2861367997,-1.5707963267948966,-0.0013194483472034335
1728212595.9574418,4477201.353383583,589721.2854343768,-1.5707963267948966,-0.0004956190823577344
1728212596.0542889,4477201.346721444,589721.2853445355,-1.5707963267948966,-0.0
1728212596.1502864,4477201.346067626,589721.2863702414,-1.5707963267948966,0.0006613382720388472
1728212596.2619188,4477201.346053403,589721.2851828908,-1.5707963267948966,0.0004972309689037502
1728212596.357697,4477201.346052388,589721.2850980784,-1.5707963267948966,0.0011603162856772542
1728212596.5605178,4477201.34607169,589721.2867094864,-1.5707963267948966,0.004597890190780163
1728212596.6737957,4477201.344730526,589721.2859621439,-1.5707963267948966,0.005130285397171974
1728212596.7763686,4477201.344952529,589721.2859594848,-1.5707963267948966,0.0036416915245354176
1728212596.856117,4477201.344190756,589721.2872409528,-1.5707963267948966,0.0023162448778748512
1728212596.9675252,4477201.347734685,589721.2865199198,-1.5707963267948966,0.0023131873458623886
1728212597.0631573,4477201.342616413,589721.2855633495,-1.5707963267948966,0.0036545125767588615
1728212597.1752446,4477201.342048199,589721.2844674591,-1.5707963267948966,0.003985910676419735
1728212597.2717934,4477201.341512493,589721.286085515,-1.5707963267948966,0.002160131698474288
1728212597.3676295,4477201.341859719,589721.2872688748,-1.5707963267948966,0.00033112993696704507
1728212597.4792972,4477201.341174408,589721.2856654468,-1.5707963267948966,0.001490635215304792
1728212597.5750008,4477201.342186629,589721.286756023,-1.5707963267948966,0.00347513472661376
1728212597.6714065,4477201.339297537,589721.2865361581,-1.5707963267948966,0.005296821240335703
1728212597.7664957,4477201.339888101,589721.2894978911,-1.5707963267948966,0.004310162737965584
1728212597.878575,4477201.341760908,589721.288287937,-1.5707963267948966,0.0028227625880390406
1728212597.9764311,4477201.340637683,589721.2871986905,-1.5707963267948966,0.002655025338754058
1728212598.0714195,4477201.338986881,589721.2884059874,-1.5707963267948966,0.004823021590709686
1728212598.1832302,4477201.338324935,589721.2887532079,-1.5707963267948966,0.007322416640818119
1728212598.2797968,4477201.336985802,589721.2881754858,-1.5707963267948966,0.007634520996361971
1728212598.4854493,4477201.336537733,589721.2878415637,-1.5707963267948966,0.009508020244538784
1728212598.5813954,4477201.334760688,589721.2877780251,-1.5707963267948966,0.0113099729642272
1728212598.8028,4477201.334315664,589721.2876985335,-1.5707963267948966,0.006183890625834465
1728212598.8981607,4477201.335454127,589721.2900599409,-1.5707963267948966,-0.05210679769515991
1728212599.0247152,4477201.33883626,589721.2850996954,-1.5707963267948966,-0.044940147548913956
1728212599.1528716,4477201.338948278,589721.2851831738,-1.5707963267948966,-0.03799412399530411
1728212599.2658372,4477201.337160058,589721.2841867195,-1.5707963267948966,-0.034625809639692307
1728212599.2970734,4477201.340598063,589721.2838910666,-1.5707963267948966,-0.0012668631970882416
1728212599.4059985,4477201.338946245,589721.2850135536,-1.5707963267948966,-0.0008629900985397398
1728212599.5100923,4477201.340026801,589721.2825407437,-1.5707963267948966,-0.0011510667391121387
1728212599.5872128,4477201.339793623,589721.2816104826,-1.5707963267948966,-0.0017260275781154633
1728212599.7142248,4477201.33748189,589721.2832498103,-1.5707963267948966,-0.0016352817183360457
1728212599.7937703,4477201.3378057545,589721.2824825237,-1.5707963267948966,-0.000961546553298831
1728212599.9204736,4477201.338028772,589721.2825646767,-1.5707963267948966,-0.0018277467461302876
1728212599.9996624,4477201.338562448,589721.2807770005,-1.5707963267948966,-0.002790352562442422
1728212600.0961843,4477201.34013577,589721.2823697894,-1.5707963267948966,-0.002792865503579378
1728212600.2073708,4477201.341348663,589721.2816766782,-1.5707963267948966,0.006378453224897385
1728212600.3032556,4477201.341244771,589721.2822716832,-1.5707963267948966,0.0040132878348231316
1728212600.4000654,4477201.340597048,589721.2838062586,-1.5707963267948966,0.002352998126298189
1728212600.511048,4477201.343118595,589721.2811465391,-1.5707963267948966,-0.0003355584922246635
1728212600.6069477,4477201.342698971,589721.2831873185,-1.5707963267948966,-0.0028471555560827255
1728212600.7035732,4477201.343133836,589721.2824187021,-1.5707963267948966,-0.003520441707223654
1728212600.910634,4477201.342814035,589721.2835252337,-1.5707963267948966,-0.0026737223379313946
1728212601.112064,4477201.343935227,589721.2844448556,-1.5707963267948966,-0.0006668340647593141
1728212601.2226195,4477201.343279377,589721.2853009434,-1.5707963267948966,0.0008321168133988976
1728212601.3261588,4477201.342720305,589721.2849683466,-1.5707963267948966,0.0019957241602241993
1728212601.429696,4477201.344159263,589721.2846118168,-1.5707963267948966,0.0016633215127512813
1728212601.5098495,4477201.344159263,589721.2846118168,-1.5707963267948966,0.0008322735084220767
1728212601.6339746,4477201.345040165,589721.2840075045,-1.5707963267948966,-0.00016708177281543612
1728212601.7145467,4477201.344286518,589721.2859674625,-1.5707963267948966,-0.001159622217528522
1728212601.8095593,4477201.346047308,589721.2846740256,-1.5707963267948966,-0.002159032505005598
1728212601.9210808,4477201.344838481,589721.2857063818,-1.5707963267948966,-0.003008873201906681
1728212602.01785,4477201.343393425,589721.2855540421,-1.5707963267948966,-0.0034916659351438284
1728212602.128922,4477201.341494205,589721.2845589195,-1.5707963267948966,-0.003335558343678713
1728212602.2259097,4477201.34126001,589721.2835438483,-1.5707963267948966,-0.002840549685060978
1728212602.3205328,4477201.341269153,589721.2843071462,-1.5707963267948966,-0.002170537132769823
1728212602.417956,4477201.340947324,589721.2852440531,-1.5707963267948966,-0.001667751814238727
1728212602.5287666,4477201.342053278,589721.284891512,-1.5707963267948966,-0.0006723958067595959
1728212602.62624,4477201.341717224,589721.2846410682,-1.5707963267948966,-0.0
1728212602.8392043,4477201.341272201,589721.2845615788,-1.5707963267948966,0.0004966823616996408
1728212602.9398735,4477201.342285442,589721.2857369629,-1.5707963267948966,-0.0
1728212603.0426884,4477201.337609145,589721.284605456,-1.5707963267948966,-0.00016544254322070628
1728212603.1457298,4477201.337279189,589721.2848638732,-1.5707963267948966,-0.0
1728212603.2464156,4477201.337947232,589721.28502552,-1.5707963267948966,0.0008237410220317543
